Rank,Team,GM,W-L,ST,STPG
324,Western Caro. (SoCon),30,8-22,158,5.3
325,Georgia St. (Sun Belt),33,14-19,173,5.2
326,Boston College (ACC),31,12-19,162,5.2
326,Charlotte (The American),31,10-21,162,5.2
328,Elon (CAA),32,17-15,167,5.2
329,Gardner-Webb (Big South),31,11-20,161,5.2
330,Stetson (ASUN),32,8-24,165,5.2
331,Dartmouth (Ivy League),27,14-13,138,5.1
332,Stony Brook (CAA),32,8-24,163,5.1
333,Southern Utah (WAC),30,12-18,152,5.1
334,Providence (Big East),31,12-19,155,5
335,Ball St. (MAC),31,14-17,154,5
336,Oral Roberts (Summit League),30,7-23,149,5
337,Penn (Ivy League),27,8-19,133,4.9
338,Green Bay (Horizon),32,4-28,157,4.9
339,Drexel (CAA),33,18-15,161,4.9
340,Jacksonville St. (CUSA),31,20-11,151,4.9
